AKR7A2_NM_003689	43624	67873	47490	52165	68912	46823	45022	42011	50043	38753	37050
AKR7A3_NM_012067	34090	56587	37630	41348	61177	38721	37287	31955	40736	30170	26459
AKR7L_NR_040288	17424	29277	19545	21619	32153	19830	19666	16702	21184	15583	13659
AKR7L_NR_040289	12432	20724	13832	15239	22753	14096	13988	11860	14976	11026	9548
AKT3_NM_001206729	9428	7662	5488	6748	10336	5321	3713	8259	9810	8660	4684
AKT3_NM_005465	22919	18845	12417	15321	25650	13924	8784	21667	23644	21506	11847
AKT3_NM_181690	9456	7708	5520	6790	10380	5365	3734	8324	9826	8689	4760
ALDH4A1_NM_001161504	5373	9808	7487	5592	7118	5000	7006	6097	5761	7023	3880
ALDH4A1_NM_003748	5386	9834	7505	5603	7139	5016	7024	6107	5781	7031	3893
ALDH4A1_NM_170726	4102	7539	5688	4239	5511	3852	5309	4632	4361	5504	2896
ALDH9A1_NM_000696	29938	39656	29985	23189	31729	30956	23495	32416	30277	25461	29010
ALG14_NM_144988	3155	3317	2241	3399	4185	2379	1874	2589	3026	3623	2088
ALG6_NM_013339	1852	1929	1836	2219	3273	1464	1237	2542	1953	1451	1618
ALPL_NM_000478	103	293	44	485	17	350	121	58	270	294	68
ALPL_NM_001127501	95	276	44	463	16	331	110	57	259	283	65
ALPL_NM_001177520	93	258	41	444	14	312	106	57	249	269	65
ALX3_NM_006492	217	326	232	295	1798	260	239	334	208	211	417
AMIGO1_NM_020703	233	563	246	529	233	356	427	481	628	92	286
AMPD1_NM_000036	0	0	3	0	1	0	7	57	0	0	9
AMPD1_NM_001172626	0	0	3	0	1	0	7	57	0	0	9
AMPD2_NM_004037	15455	17426	14044	16502	18502	19797	18949	21438	16623	19107	11667
AMPD2_NM_139156	15648	17691	14288	16745	18787	20115	19316	21758	16902	19456	11803
AMPD2_NM_203404	14599	16538	13314	15739	17600	18650	17972	20278	15811	18117	11096
AMY1A_NM_001008221_1	27	179	53	174	419	16	453	1213	28	0	295
AMY1A_NM_001008221_2	5	143	33	195	268	11	312	859	22	0	244
AMY1A_NM_001008221	16	36	20	198	216	5	96	637	6	0	149
AMY1A_NM_004038_1	16	36	20	198	216	5	96	637	6	0	149
AMY1A_NM_004038_2	27	179	53	174	419	16	453	1213	28	0	295
AMY1A_NM_004038	5	143	33	195	268	11	312	859	22	0	244
AMY1B_NM_001008218_1	16	36	20	198	216	5	96	637	6	0	149
AMY1B_NM_001008218_2	27	179	53	174	419	16	453	1213	28	0	295
AMY1B_NM_001008218	5	143	33	195	268	11	312	859	22	0	244
AMY1C_NM_001008219_1	5	143	33	195	268	11	312	859	22	0	244
AMY1C_NM_001008219_2	27	179	53	174	419	16	453	1213	28	0	295
AMY1C_NM_001008219	16	36	20	198	216	5	96	637	6	0	149
AMY2A_NM_000699	8	220	48	125	370	21	571	1130	35	0	302
AMY2B_NM_020978	119	311	82	197	303	113	644	1175	111	53	247
ANGEL2_NM_144567	5313	6298	3960	4267	6084	4804	3710	5456	5126	5594	4435
ANGPTL1_NM_004673	1782	3114	1171	1694	1632	1262	964	2170	2930	1142	917
ANGPTL3_NM_014495	1205	1759	1176	1557	1050	1806	1111	1839	1623	1670	1282
ANGPTL7_NM_021146	317	421	352	333	504	365	392	312	355	255	240
ANKRD13C_NM_030816	8700	11463	6345	8156	9713	8129	6012	11675	9206	9587	7549
ANKRD34A_NM_001039888	1069	442	844	961	456	493	785	886	1046	1022	804
ANKRD35_NM_144698	1727	1581	1363	269	1476	1002	1330	1807	1559	394	1659
ANKRD36BP1_NR_026844	1157	1560	900	1413	1177	1123	908	2074	1519	1282	1209
ANKRD45_NM_198493	11	24	16	0	24	4	4	24	57	13	19
ANKRD65_NM_001145210	315	478	228	116	219	352	96	440	293	194	444
ANKRD65_NM_001243535	292	441	216	104	186	330	91	404	270	178	407
ANKRD65_NM_001243536	292	441	216	104	186	330	91	404	270	178	407
ANP32E_NM_001136478	7711	5486	5944	4829	18960	4335	2464	8810	6298	8171	8056
ANP32E_NM_001136479	7950	5545	6062	4960	19309	4473	2528	9055	6460	8438	8163
ANP32E_NM_030920	8403	5903	6439	5203	20516	4708	2662	9491	6816	8869	8619
ANXA9_NM_003568	270	309	250	443	187	300	299	362	281	272	247
AP4B1_NM_001253852	3099	3861	2799	3338	4610	3185	2214	3436	3030	3473	2434
AP4B1_NM_001253853	2997	3768	2714	3248	4476	3101	2170	3344	2950	3383	2385
AP4B1_NM_006594	3114	3884	2811	3351	4631	3199	2237	3447	3045	3485	2444
APCS_NM_001639	1	0	0	0	0	0	0	0	0	0	0
